team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Orlando Pride,Morgan Gautrat,MORGANGAUTRAT,MIDFIELDER,7,6,482,0,89,0,3,1,0,6,6,2,0,2,0,244,274,3,0,7,236,46,0,0,0,0,33,1,20,0,6,55,9,12,,,
San Diego Wave FC,Naomi Girma,NAOMIGIRMA,DEFENDER,6,6,463,0,92,0,0,0,0,6,1,1,0,0,0,380,412,3,0,27,352,36,0,0,0,0,0,0,0,0,6,75,0,11,,,
Racing Louisville FC,Parker Goins,PARKERGOINS,FORWARD,5,,53,0,59,0,0,0,0,2,0,0,1,0,0,16,27,3,0,0,16,16,0,0,0,0,0,1,50,0,2,100,0,3,,,
Chicago Red Stars,Nádia Gomes,NÁDIAGOMES,FORWARD,5,3,177,0,64,0,1,0,0,7,1,3,0,0,0,16,25,3,0,0,16,31,0,0,0,0,0,3,50,0,7,78,2,7,,,
NJ/NY Gotham FC,Esther González,ESTHERGONZÁLEZ,FORWARD,10,10,829,2,81,2,15,8,2,1,11,7,5,1,0,216,267,3,0.22,4,211,116,0.22,0,0,0,53,10,59,4,1,25,5,32,,,
Angel City FC,Sarah Gorden,SARAHGORDEN,DEFENDER,9,9,735,0,84,0,0,0,0,10,5,12,0,0,0,477,571,3,0,29,448,119,0,0,0,0,0,2,40,0,10,77,9,12,,,
Utah Royals FC,Emily Gray,EMILYGRAY,MIDFIELDER,2,,2,0,67,0,0,0,0,1,1,0,0,0,0,2,3,3,0,0,2,2,0,0,0,0,0,0,0,0,1,100,0,0,,,
Chicago Red Stars,Sarah Griffith,SARAHGRIFFITH,FORWARD,4,1,59,0,89,0,0,0,0,0,3,1,0,0,0,17,19,3,0,0,17,9,0,0,0,0,0,3,50,0,0,0,0,1,,,
Utah Royals FC,Olivia Griffitts,OLIVIAGRIFFITTS,DEFENDER,7,7,567,1,76,0,1,1,0,11,10,3,0,1,0,201,265,3,0,14,186,124,0.16,0,0,0,100,5,33,1,11,61,16,7,,,
Chicago Red Stars,Shea Groom,SHEAGROOM,MIDFIELDER,5,,107,0,63,0,2,1,0,2,4,1,0,0,0,17,27,3,0,1,15,20,0,0,0,0,50,0,0,0,2,40,2,8,,,
Kansas City Current,Kristen Hamilton,KRISTENHAMILTON,FORWARD,2,,74,1,86,0,1,1,0,0,0,1,0,0,0,12,14,3,0,0,11,6,1.22,0,0,0,100,1,100,1,0,0,0,1,,,
Angel City FC,Madison Hammond,MADISONHAMMOND,DEFENDER,8,3,276,0,78,0,1,0,0,2,6,1,0,2,0,115,148,3,0,7,108,49,0,0,0,0,0,2,100,0,2,100,4,6,,,
Angel City FC,Didi Haračić,DIDIHARAČIĆ,GOALKEEPER,7,7,630,0,84,0,0,0,0,0,0,1,0,0,0,301,357,3,0,43,258,57,0,0,0,0,0,0,0,0,0,0,0,2,24,48,4
Houston Dash,Jyllissa Harris,JYLLISSAHARRIS,DEFENDER,2,1,96,0,77,0,1,1,0,0,1,0,0,0,0,43,56,3,0,3,40,14,0,0,0,0,100,0,0,0,0,0,0,2,,,
Washington Spirit,Ashley Hatch,ASHLEYHATCH,FORWARD,10,7,627,2,72,1,14,6,1,7,6,4,2,0,0,131,181,3,0.14,2,129,97,0.29,1,1,100,43,2,33,3,7,70,3,24,,,
Utah Royals FC,Mandy Haught,MANDYHAUGHT,GOALKEEPER,9,9,810,0,82,0,0,0,0,0,0,1,0,1,0,428,520,3,0,72,356,95,0,0,0,0,0,2,100,0,0,0,0,3,23,47,5
Washington Spirit,Anna Heilferty,ANNAHEILFERTY,DEFENDER,2,,70,0,80,0,0,0,0,0,0,0,0,0,0,28,35,3,0,0,28,15,0,0,0,0,0,1,33,0,0,0,2,1,,,
Angel City FC,Amandine Henry,AMANDINEHENRY,MIDFIELDER,18,16,1426,0,72,0,26,8,0,26,24,22,2,6,0,524,724,3,0,42,482,262,0,0,0,0,31,4,40,0,26,76,24,78,,,
Washington Spirit,Hal Hershfelt,HALHERSHFELT,MIDFIELDER,11,10,938,2,80,0,8,4,0,13,14,10,0,2,0,415,516,3,0,35,380,146,0.19,0,0,0,50,11,65,2,13,62,6,24,,,
NJ/NY Gotham FC,Sam Hiatt,SAMHIATT,DEFENDER,10,9,775,0,74,0,1,0,0,6,5,6,0,0,0,300,405,3,0,21,279,115,0,0,0,0,0,1,100,0,6,60,16,38,,,
Bay FC,Rachel Hill,RACHELHILL,FORWARD,3,,52,0,88,0,0,0,0,4,0,0,0,0,0,15,17,3,0,0,14,10,0,0,0,0,0,0,0,0,4,80,0,1,,,
Houston Dash,Heather Hinz,HEATHERHINZ,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston Dash,Sophie Hirst,SOPHIEHIRST,MIDFIELDER,7,3,285,0,76,0,1,0,0,2,1,0,0,0,0,88,116,3,0,2,86,36,0,0,0,0,0,0,0,0,2,33,1,6,,,
Chicago Red Stars,Penelope Hocking,PENELOPEHOCKING,FORWARD,9,8,678,3,58,0,12,6,0,10,14,6,3,4,0,69,119,3,0,3,65,106,0.4,0,0,0,50,6,33,3,10,56,4,16,,,
Portland Thorns,Shelby Hogan,SHELBYHOGAN,GOALKEEPER,11,11,990,0,58,0,0,0,0,0,0,1,0,0,0,161,280,3,0,64,97,120,0,0,0,0,0,0,0,0,0,0,0,0,32,36,8
Seattle Reign,Shae Holmes,SHAEHOLMES,DEFENDER,5,3,315,0,79,0,3,1,0,3,0,0,0,0,0,169,214,3,0,16,153,55,0,0,0,0,33,1,100,0,3,60,1,5,,,
North Carolina Courage,Haley Hopkins,HALEYHOPKINS,FORWARD,11,9,749,2,65,0,15,4,0,4,10,12,5,1,0,165,254,3,0,3,160,163,0.24,0,0,0,27,10,45,2,4,57,2,35,,,
Racing Louisville FC,Jaelin Howell,JAELINHOWELL,MIDFIELDER,6,5,410,0,83,0,1,0,0,11,9,8,0,2,0,146,176,3,0,6,140,33,0,0,0,0,0,0,0,0,11,58,8,6,,,
Portland Thorns,Kelli Hubly,KELLIHUBLY,DEFENDER,8,7,661,0,85,1,2,0,1,10,10,2,0,3,0,346,407,3,0.14,29,317,67,0,0,0,0,0,1,50,1,10,71,15,11,,,
Seattle Reign,Sofia Huerta,SOFIAHUERTA,DEFENDER,11,11,990,0,80,0,3,1,0,6,10,10,1,3,0,376,469,3,0,27,342,179,0,0,0,0,33,8,57,0,6,33,17,8,,,
Seattle Reign,Jordyn Huitema,JORDYNHUITEMA,FORWARD,4,3,290,0,71,0,6,1,0,4,3,5,1,0,0,42,59,3,0,0,41,44,0,0,0,0,17,0,0,0,4,57,0,21,,,
Kansas City Current,Claire Hutton,CLAIREHUTTON,MIDFIELDER,10,10,885,0,75,0,10,6,0,30,10,11,1,2,0,296,394,3,0,15,281,137,0,0,0,0,60,8,42,0,30,75,15,28,,,
Seattle Reign,Laurel Ivory,LAURELIVORY,GOALKEEPER,8,7,660,0,76,0,0,0,0,0,1,2,0,1,0,205,270,3,0,55,150,65,0,0,0,0,0,0,0,0,0,0,0,4,28,47,4
North Carolina Courage,Riley Jackson,RILEYJACKSON,MIDFIELDER,10,,92,0,83,0,0,0,0,5,2,1,0,0,0,85,102,3,0,1,84,33,0,0,0,0,0,2,40,0,5,62,0,2,,,
Houston Dash,Natalie Jacobs,NATALIEJACOBS,DEFENDER,7,6,514,1,85,0,1,1,0,4,5,6,0,0,0,181,212,3,0,16,165,38,0.18,0,0,0,100,0,0,1,4,100,7,10,,,
San Diego Wave FC,Sofia Jakobsson,SOFIAJAKOBSSON,FORWARD,6,4,388,1,80,0,6,3,0,10,6,3,2,0,0,64,80,3,0,1,58,68,0.23,0,0,0,50,7,50,1,10,91,2,5,,,
Seattle Reign,Angharad James,ANGHARADJAMES,MIDFIELDER,9,9,657,1,77,0,5,3,0,16,8,0,1,1,0,204,264,3,0,10,194,75,0.14,0,0,0,60,1,50,1,16,76,8,6,,,
Racing Louisville FC,Elisabeth Jean,ELISABETHJEAN,DEFENDER,1,,18,0,75,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angel City FC,Katie Johnson,KATIEJOHNSON,FORWARD,5,,85,0,74,0,0,0,0,1,5,2,1,1,0,26,35,3,0,1,22,20,0,0,0,0,0,0,0,0,1,100,0,7,,,
San Diego Wave FC,Mya Jones,MYAJONES,FORWARD,6,5,306,0,69,0,4,3,0,5,3,5,0,0,0,45,65,3,0,0,43,61,0,0,0,0,75,3,23,0,5,62,5,9,,,
Chicago Red Stars,Jameese Joseph,JAMEESEJOSEPH,MIDFIELDER,8,2,299,0,73,1,1,0,1,9,5,4,1,0,0,41,56,3,0.3,0,41,57,0,0,0,0,0,1,10,1,9,69,0,9,,,
Racing Louisville FC,Uchenna Kanu,UCHENNAKANU,FORWARD,8,7,522,4,76,0,10,4,0,14,11,9,1,1,0,113,149,3,0,4,106,86,0.69,0,0,0,40,9,36,4,14,70,13,9,,,
Orlando Pride,Alex Kerr,ALEXKERR,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Seattle Reign,Tziarra King,TZIARRAKING,FORWARD,8,5,369,1,69,0,10,6,0,5,8,7,2,0,1,64,93,3,0,1,59,60,0.24,0,0,0,60,3,33,1,5,71,3,13,,,
Bay FC,Savy King,SAVYKING,DEFENDER,11,9,798,0,76,1,0,0,1,16,6,5,1,0,0,283,372,3,0.11,11,267,155,0,0,0,0,0,3,38,1,16,59,17,15,,,
Washington Spirit,Aubrey Kingsbury,AUBREYKINGSBURY,GOALKEEPER,11,11,989,0,77,0,0,0,0,0,1,1,0,0,1,265,342,3,0,49,216,81,0,0,0,0,0,0,0,0,0,0,0,1,30,39,6
Houston Dash,CeCe Kizer,CECEKIZER,FORWARD,5,3,216,0,76,0,0,0,0,3,1,0,0,0,0,48,63,3,0,0,47,34,0,0,0,0,0,2,29,0,3,43,1,1,,,
Portland Thorns,Meghan Klingenberg,MEGHANKLINGENBERG,DEFENDER,7,1,140,0,83,1,1,0,1,3,2,1,0,0,0,82,99,3,0.64,5,75,31,0,0,0,0,0,1,50,1,3,75,2,5,,,
Portland Thorns,Lauren Kozal,LAURENKOZAL,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Spirit,Casey Krueger,CASEYKRUEGER,DEFENDER,10,9,776,1,71,2,2,1,2,11,8,7,1,1,0,206,291,3,0.23,11,195,153,0.12,0,0,0,50,8,44,3,11,79,8,17,,,
Chicago Red Stars,Natalia Kuikka,NATALIAKUIKKA,DEFENDER,11,11,990,0,83,0,4,1,0,8,2,7,0,1,0,425,512,3,0,47,378,108,0,0,0,0,25,3,60,0,8,57,11,18,,,
Bay FC,Racheal Kundananji,RACHEALKUNDANANJI,FORWARD,8,7,658,2,52,1,12,6,1,10,16,12,1,3,0,79,152,3,0.14,7,69,184,0.27,0,0,0,50,20,43,3,10,59,5,23,,,
North Carolina Courage,Kaleigh Kurtz,KALEIGHKURTZ,DEFENDER,11,11,990,1,84,0,7,2,0,11,7,6,0,2,0,709,847,3,0,46,663,170,0.09,0,0,0,29,6,75,1,11,69,10,28,,,
Kansas City Current,Lo’eau LaBonta,LO’EAULABONTA,MIDFIELDER,8,5,525,2,72,0,8,3,0,13,8,11,0,0,0,169,235,3,0,13,156,81,0.34,2,2,100,38,2,67,2,13,68,12,12,,,
Orlando Pride,Mariana Larroquette,MARIANALARROQUETTE,FORWARD,3,,28,0,44,0,0,0,0,4,1,2,1,0,0,7,16,3,0,0,7,16,0,0,0,0,0,1,100,0,4,67,0,2,,,
Seattle Reign,Veronica Latsko,VERONICALATSKO,FORWARD,8,5,477,2,66,0,8,3,0,2,3,14,4,0,0,95,145,3,0,5,90,84,0.38,0,0,0,38,10,67,2,2,29,2,26,,,
Kansas City Current, Lauren,LAUREN,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NJ/NY Gotham FC,Rose Lavelle,ROSELAVELLE,MIDFIELDER,6,2,242,1,82,0,6,3,0,2,4,2,0,1,0,75,92,3,0,1,74,43,0.37,0,0,0,50,3,33,1,2,67,2,8,,,
Kansas City Current,Claire Lavogez,CLAIRELAVOGEZ,MIDFIELDER,10,2,312,2,66,0,14,8,0,6,10,11,3,2,0,82,124,3,0,3,78,98,0.58,0,0,0,57,4,33,2,6,60,1,12,,,
Orlando Pride,Carrie Lawrence,CARRIELAWRENCE,DEFENDER,3,,36,0,50,1,0,0,1,2,1,1,0,1,0,6,12,3,2.5,0,6,10,0,0,0,0,0,0,0,1,2,100,0,2,,,
Angel City FC,Clarisse Le Bihan,CLARISSELE BIHAN,MIDFIELDER,5,3,250,0,78,0,2,1,0,2,2,3,0,1,0,101,129,3,0,1,98,52,0,0,0,0,50,4,80,0,2,29,4,8,,,
Orlando Pride,Ally Lemos,ALLYLEMOS,MIDFIELDER,9,2,237,0,77,0,1,0,0,6,4,2,0,1,0,80,104,3,0,8,71,43,0,0,0,0,0,0,0,0,6,60,1,11,,,
Angel City FC,Sydney Leroux,SYDNEYLEROUX,FORWARD,9,9,742,3,65,0,9,5,0,4,5,9,7,0,0,106,163,3,0,0,105,85,0.36,0,0,0,56,1,25,3,4,67,3,57,,,
Seattle Reign,Julia Lester,JULIALESTER,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Portland Thorns,Payton Linnehan,PAYTONLINNEHAN,FORWARD,7,1,221,2,72,1,9,8,1,6,5,2,3,2,0,49,68,3,0.41,0,48,52,0.81,0,0,0,89,5,50,3,6,60,2,4,,,
Bay FC,Alexis Loera,ALEXISLOERA,MIDFIELDER,4,4,296,1,77,0,2,1,0,6,7,6,0,1,0,123,160,3,0,7,116,45,0.3,0,0,0,50,2,67,1,6,60,3,5,,,
NJ/NY Gotham FC,Maitane López,MAITANELÓPEZ,MIDFIELDER,7,2,225,0,74,0,0,0,0,6,4,0,0,2,0,110,148,3,0,7,103,43,0,0,0,0,0,0,0,0,6,75,8,14,,,
Orlando Pride, Luana,LUANA,MIDFIELDER,3,2,192,0,81,0,0,0,0,2,5,6,0,2,0,60,74,3,0,2,57,22,0,0,0,0,0,1,50,0,2,50,3,4,,,
Racing Louisville FC,Katie Lund,KATIELUND,GOALKEEPER,10,10,900,0,74,0,0,0,0,0,0,0,0,0,0,203,273,3,0,57,146,71,0,0,0,0,0,0,0,0,0,0,0,0,30,46,8
San Diego Wave FC,Hanna Lundkvist,HANNALUNDKVIST,DEFENDER,10,9,774,1,76,0,4,2,0,19,14,12,0,3,0,266,348,3,0,5,258,173,0.12,0,0,0,50,2,14,1,19,73,8,20,,,
North Carolina Courage,Tyler Lussi,TYLERLUSSI,FORWARD,11,9,732,3,64,1,19,6,1,9,9,4,6,0,0,146,227,3,0.12,0,143,143,0.37,0,0,0,32,3,23,4,9,82,13,17,,,
Kansas City Current,Hailie Mace,HAILIEMACE,MIDFIELDER,8,5,484,0,79,0,3,2,0,12,3,2,0,1,0,190,242,3,0,25,160,106,0,0,0,0,67,9,56,0,12,63,14,5,,,
Chicago Red Stars,Taylor Malham,TAYLORMALHAM,MIDFIELDER,8,7,605,0,69,1,1,1,1,6,4,1,0,1,0,108,157,3,0.15,5,101,92,0,0,0,0,100,5,56,1,6,86,13,13,,,
Bay FC,Alyssa Malonson,ALYSSAMALONSON,DEFENDER,8,3,272,0,77,0,3,0,0,7,2,4,0,1,0,112,145,3,0,2,109,61,0,0,0,0,0,4,67,0,7,50,4,6,,,
Bay FC,Princess Marfo,PRINCESSMARFO,FORWARD,6,2,195,0,82,0,7,3,0,4,12,3,4,1,0,41,50,3,0,0,41,37,0,0,0,0,43,4,33,0,4,100,1,9,,,
Orlando Pride, Marta,MARTA,FORWARD,8,6,566,2,85,0,15,5,0,4,5,12,0,2,0,218,257,3,0,18,197,112,0.32,0,0,0,33,13,57,2,4,57,3,8,,,
NJ/NY Gotham FC,Nealy Martin,NEALYMARTIN,DEFENDER,10,9,772,0,77,0,0,0,0,12,15,8,0,2,0,230,297,3,0,14,216,111,0,0,0,0,0,1,100,0,12,75,9,38,,,
Orlando Pride,Brianna Martínez,BRIANNAMARTÍNEZ,DEFENDER,9,5,465,0,69,0,0,0,0,7,9,5,0,1,1,140,203,3,0,16,124,85,0,0,0,0,0,3,43,0,7,70,8,11,,,
Angel City FC,Merritt Mathias,MERRITTMATHIAS,DEFENDER,7,,123,0,72,0,0,0,0,3,0,0,1,0,0,41,57,3,0,0,41,40,0,0,0,0,0,0,0,0,3,60,2,3,,,
North Carolina Courage,Manaka Matsukubo,MANAKAMATSUKUBO,MIDFIELDER,11,7,628,0,80,1,8,2,1,9,7,17,0,0,0,184,229,3,0.14,2,179,96,0,0,0,0,25,9,56,1,9,82,1,17,,,
San Diego Wave FC,Savannah McCaskill,SAVANNAHMCCASKILL,MIDFIELDER,10,9,796,0,74,1,4,2,1,13,8,15,3,3,0,251,340,3,0.11,15,234,168,0,0,0,0,50,2,22,1,13,65,4,14,,,
Seattle Reign,Phoebe McClernon,PHOEBEMCCLERNON,DEFENDER,11,9,808,0,74,1,2,0,1,17,9,8,1,3,0,302,406,3,0.11,16,283,148,0,0,0,0,0,3,75,1,17,71,14,19,,,
Orlando Pride,Haley McCutcheon,HALEYMCCUTCHEON,DEFENDER,11,9,853,0,79,0,2,1,0,15,8,6,0,1,0,271,343,3,0,7,262,118,0,0,0,0,50,9,53,0,15,62,8,21,,,
North Carolina Courage,Maya McCutcheon,MAYAMCCUTCHEON,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Portland Thorns,Mallie McKenzie,MALLIEMCKENZIE,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Washington Spirit,Tara McKeown,TARAMCKEOWN,FORWARD,11,11,990,0,83,1,1,0,1,17,10,5,1,0,0,564,676,3,0.09,46,518,128,0,0,0,0,0,5,71,1,17,65,13,28,,,
NJ/NY Gotham FC,Erin McKinney,ERINMCKINNEY,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Diego Wave FC,Kristen McNabb,KRISTENMCNABB,DEFENDER,8,7,616,0,80,0,3,0,0,4,6,0,0,0,1,274,343,3,0,14,258,89,0,0,0,0,0,0,0,0,4,100,5,17,,,
Bay FC,Emily Menges,EMILYMENGES,DEFENDER,11,10,934,0,86,1,0,0,1,7,4,3,0,0,0,596,692,3,0.1,30,564,111,0,0,0,0,0,1,50,1,7,50,10,21,,,
Seattle Reign,Maddie Mercado,MADDIEMERCADO,MIDFIELDER,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Utah Royals FC,Addisyn Merrick,ADDISYNMERRICK,DEFENDER,1,,45,0,83,0,0,0,0,3,1,0,0,0,0,5,6,3,0,0,5,2,0,0,0,0,0,0,0,0,3,100,0,0,,,
North Carolina Courage,Landy Mertz,LANDYMERTZ,MIDFIELDER,1,,6,0,100,0,0,0,0,2,0,1,0,0,0,3,3,3,0,0,3,4,0,0,0,0,0,0,0,0,2,100,0,0,,,
San Diego Wave FC,Morgan Messner,MORGANMESSNER,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Spirit,Paige Metayer,PAIGEMETAYER,MIDFIELDER,8,2,198,0,80,0,1,0,0,2,2,0,0,1,0,85,106,3,0,1,84,35,0,0,0,0,0,0,0,0,2,40,4,12,,,
Seattle Reign,Sam Meza,SAMMEZA,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chicago Red Stars,Tatumn Milazzo,TATUMNMILAZZO,DEFENDER,7,6,487,0,64,0,1,1,0,11,4,2,1,1,0,136,214,3,0,7,129,112,0,0,0,0,100,2,67,0,11,69,6,18,,,
NJ/NY Gotham FC,Cassy Miller,CASSYMILLER,GOALKEEPER,4,4,360,0,77,0,0,0,0,0,0,0,0,0,0,118,153,3,0,32,86,35,0,0,0,0,0,0,0,0,0,0,0,0,12,50,1
Racing Louisville FC,Lauren Milliet,LAURENMILLIET,MIDFIELDER,10,10,899,0,74,2,3,0,2,16,7,24,0,2,0,276,374,3,0.2,10,263,155,0,0,0,0,0,7,47,2,16,73,14,12,,,
North Carolina Courage,Narumi Miura,NARUMIMIURA,MIDFIELDER,11,10,841,0,86,0,3,2,0,18,14,9,0,0,0,364,423,3,0,16,347,92,0,0,0,0,67,6,75,0,18,69,10,9,,,
Utah Royals FC,Paige Monaghan,PAIGEMONAGHAN,FORWARD,10,10,774,0,68,1,10,2,1,12,9,10,4,2,0,137,201,3,0.12,6,122,133,0,0,0,0,20,6,40,1,12,60,8,12,,,
Orlando Pride,Anna Moorhouse,ANNAMOORHOUSE,GOALKEEPER,11,11,990,0,72,0,0,0,0,0,0,2,0,0,0,255,356,3,0,47,208,102,0,0,0,0,0,1,100,0,0,0,0,6,29,33,7
Bay FC,Madeline Moreau,MADELINEMOREAU,DEFENDER,4,1,101,0,78,0,0,0,0,2,3,0,1,0,0,50,64,3,0,1,49,26,0,0,0,0,0,2,40,0,2,100,2,1,,,
San Diego Wave FC,Alex Morgan,ALEXMORGAN,FORWARD,5,4,349,0,63,1,11,6,1,0,7,5,2,0,0,39,62,3,0.26,0,39,36,0,0,0,0,55,0,0,1,0,0,0,11,,,
Washington Spirit,Makenna Morris,MAKENNAMORRIS,FORWARD,1,,25,0,46,0,0,0,0,1,1,0,0,0,0,6,13,3,0,0,6,9,0,0,0,0,0,0,0,0,1,100,0,0,,,
Racing Louisville FC,Linda Motlhalo,LINDAMOTLHALO,MIDFIELDER,1,,3,0,86,0,0,0,0,1,0,0,0,0,0,6,7,3,0,0,6,2,0,0,0,0,0,0,0,0,1,100,0,0,,,
Portland Thorns,Olivia Moultrie,OLIVIAMOULTRIE,MIDFIELDER,11,8,684,3,76,1,12,7,1,10,11,7,3,1,0,203,266,3,0.13,15,188,112,0.39,0,0,0,58,5,31,4,10,59,6,21,,,
Utah Royals FC,Brecken Mozingo,BRECKENMOZINGO,FORWARD,9,2,358,0,64,0,4,3,0,4,1,4,2,0,0,76,118,3,0,4,71,76,0,0,0,0,75,3,25,0,4,80,3,4,,,
Portland Thorns,Marie Müller,MARIEMÜLLER,MIDFIELDER,11,10,884,0,76,1,4,2,1,23,10,2,0,0,0,376,494,3,0.1,23,348,193,0,0,0,0,50,8,42,1,23,70,33,11,,,
North Carolina Courage,Casey Murphy,CASEYMURPHY,GOALKEEPER,11,11,990,0,79,0,0,0,0,0,0,1,0,1,0,248,315,3,0,52,196,68,0,0,0,0,0,0,0,0,0,0,0,5,29,45,7
Angel City FC,Lily Nabet,LILYNABET,MIDFIELDER,6,4,346,0,82,0,1,0,0,3,5,6,0,3,0,113,138,3,0,4,109,40,0,0,0,0,0,3,75,0,3,50,4,7,,,
Chicago Red Stars,Alyssa Naeher,ALYSSANAEHER,GOALKEEPER,9,9,782,0,72,0,0,0,0,0,0,1,0,0,0,179,248,3,0,49,130,69,0,0,0,0,0,0,0,0,0,0,0,1,23,44,4
Houston Dash,Yuki Nagasato,YUKINAGASATO,FORWARD,7,3,214,0,80,0,2,1,0,2,3,4,0,0,0,66,83,3,0,1,65,27,0,0,0,0,50,1,50,0,2,100,3,4,,,
Portland Thorns,Meaghan Nally,MEAGHANNALLY,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Utah Royals FC,Carly Nelson,CARLYNELSON,GOALKEEPER,1,1,90,0,96,0,0,0,0,0,0,0,0,0,0,65,68,3,0,3,62,4,0,0,0,0,0,0,0,0,0,0,0,0,2,50,2
Chicago Red Stars,Leilanni Nesbeth,LEILANNINESBETH,MIDFIELDER,7,4,414,1,61,0,3,1,0,11,2,3,0,1,0,93,152,3,0,4,89,77,0.22,0,0,0,33,0,0,1,11,65,10,15,,,
Angel City FC,Paige Nielsen,PAIGENIELSEN,DEFENDER,17,17,1530,2,77,0,11,4,0,19,11,4,0,2,0,697,902,3,0,46,649,241,0.12,0,0,0,36,4,80,2,19,56,28,58,,,
NJ/NY Gotham FC,Jenna Nighswonger,JENNANIGHSWONGER,MIDFIELDER,10,9,841,0,71,2,6,3,2,19,6,18,0,2,0,309,434,3,0.21,15,282,234,0,0,0,0,50,3,43,2,19,66,10,7,,,
Utah Royals FC,Agnes Nyberg,AGNESNYBERG,MIDFIELDER,6,5,429,0,69,0,2,0,0,7,12,5,0,2,0,95,137,3,0,6,89,63,0,0,0,0,0,1,50,0,7,54,4,5,,,
NJ/NY Gotham FC,Kelley O'Hara,KELLEYO'HARA,DEFENDER,2,1,80,0,77,0,0,0,0,0,0,1,0,0,0,27,35,3,0,2,25,13,0,0,0,0,0,0,0,0,0,0,1,3,,,
North Carolina Courage,Denise O'Sullivan,DENISEO'SULLIVAN,MIDFIELDER,9,9,778,0,87,0,1,0,0,14,10,19,2,1,0,418,481,3,0,6,412,116,0,0,0,0,0,8,53,0,14,47,19,22,,,
Portland Thorns,Isabella Obaze,ISABELLAOBAZE,DEFENDER,6,5,447,0,92,2,1,0,2,3,4,0,0,1,0,230,251,3,0.4,8,222,24,0,0,0,0,0,0,0,2,3,33,7,11,,,
Utah Royals FC,Ifeoma Onumonu,IFEOMAONUMONU,FORWARD,3,,70,0,59,0,1,1,0,1,0,0,0,0,0,13,22,3,0,1,12,15,0,0,0,0,100,0,0,0,1,50,1,5,,,
Houston Dash,Diana Ordóñez,DIANAORDÓÑEZ,FORWARD,11,10,880,4,64,0,17,10,0,5,16,6,0,1,0,136,211,3,0,4,131,137,0.41,0,1,0,59,9,64,4,5,56,2,44,,,
Bay FC,Asisat Oshoala,ASISATOSHOALA,FORWARD,10,9,755,2,64,1,13,3,1,7,12,7,3,1,0,106,165,3,0.12,3,103,126,0.24,0,0,0,23,3,23,3,7,54,2,26,,,
Houston Dash,Avery Patterson,AVERYPATTERSON,FORWARD,11,9,828,0,73,1,4,1,1,13,8,16,2,1,0,203,277,3,0.11,13,189,176,0,0,0,0,25,10,42,1,13,54,9,28,,,
Portland Thorns,Nicole Payne,NICOLEPAYNE,DEFENDER,5,3,306,0,78,0,1,0,0,6,1,4,0,0,0,91,116,3,0,1,88,56,0,0,0,0,0,2,33,0,6,67,3,1,,,
